Designator,Mid X,Mid Y,Rotation,Layer
C1,61.85,-33.77,180.0,bottom
C10,71.49,-56.08,0.0,bottom
C11,90.54,-56.08,0.0,bottom
C12,109.59,-56.08,0.0,bottom
C13,128.64,-56.08,0.0,bottom
C14,147.69,-56.08,0.0,bottom
C15,176.265,-56.08,0.0,bottom
C16,209.6025,-56.08,0.0,bottom
C17,52.325,-76.6325,180.0,bottom
C18,71.375,-76.6325,180.0,bottom
C19,90.425,-76.6325,180.0,bottom
C2,80.9,-33.77,180.0,bottom
C20,109.475,-76.6325,180.0,bottom
C21,128.525,-76.6325,180.0,bottom
C22,147.575,-76.6325,180.0,bottom
C23,166.625,-76.6325,180.0,bottom
C24,190.4375,-76.6325,180.0,bottom
C25,47.67,-94.19,0.0,bottom
C26,66.72,-94.19,0.0,bottom
C27,85.77,-94.19,0.0,bottom
C28,104.82,-94.19,0.0,bottom
C29,123.87,-94.19,0.0,bottom
C3,109.475,-33.77,180.0,bottom
C30,142.92,-94.19,0.0,bottom
C31,173.87625,-94.19,0.0,bottom
C32,47.5625,-114.7325,180.0,bottom
C33,66.6125,-114.7325,180.0,bottom
C34,85.6625,-114.7325,180.0,bottom
C35,104.7125,-114.7325,180.0,bottom
C36,123.7625,-114.7325,180.0,bottom
C37,142.8125,-114.7325,180.0,bottom
C38,169.00625,-114.7325,180.0,bottom
C39,199.9625,-124.2575,180.0,bottom
C4,128.525,-33.77,180.0,bottom
C40,119.14,-132.27,0.0,bottom
C41,142.9525,-132.27,0.0,bottom
C42,64.37125,-141.795,0.0,bottom
C43,171.5275,-141.795,0.0,bottom
C44,190.5775,-141.795,0.0,bottom
C45,209.6275,-141.795,0.0,bottom
C46,209.6,-99.2,270.0,top
C47,94.725,-36.1,90.0,bottom
C48,87.025,-28.85,270.0,top
C49,223.65,-131.0,90.0,bottom
C5,147.575,-33.77,180.0,bottom
C50,223.6,-124.0,90.0,bottom
C51,223.6,-117.0,90.0,bottom
C6,166.625,-33.77,180.0,bottom
C7,195.2,-33.77,180.0,bottom
C8,219.0125,-33.77,180.0,bottom
C9,52.44,-56.08,0.0,bottom
D1,51.35,-46.07,0.0,bottom
D10,70.4,-69.8825,0.0,bottom
D11,89.45,-69.8825,0.0,bottom
D12,108.5,-69.8825,0.0,bottom
D13,127.55,-69.8825,0.0,bottom
D14,146.6,-69.8825,0.0,bottom
D15,175.175,-69.8825,0.0,bottom
D16,208.5125,-69.8825,0.0,bottom
D17,40.9575,-82.8675,0.0,bottom
D18,60.875,-88.9325,0.0,bottom
D19,79.925,-88.9325,0.0,bottom
D2,70.4,-46.07,0.0,bottom
D20,98.975,-88.9325,0.0,bottom
D21,118.025,-88.9325,0.0,bottom
D22,137.075,-88.9325,0.0,bottom
D23,156.125,-88.9325,0.0,bottom
D24,179.9375,-88.9325,0.0,bottom
D25,46.5875,-107.9825,0.0,bottom
D26,65.6375,-107.9825,0.0,bottom
D27,84.6875,-107.9825,0.0,bottom
D28,103.7375,-107.9825,0.0,bottom
D29,122.7875,-107.9825,0.0,bottom
D3,98.975,-46.07,0.0,bottom
D30,141.8375,-107.9825,0.0,bottom
D31,172.79375,-107.9825,0.0,bottom
D32,36.195,-120.9675,0.0,bottom
D33,56.1125,-127.0325,0.0,bottom
D34,75.1625,-127.0325,0.0,bottom
D35,94.2125,-127.0325,0.0,bottom
D36,113.2625,-127.0325,0.0,bottom
D37,132.3125,-127.0325,0.0,bottom
D38,158.50625,-127.0325,0.0,bottom
D39,189.4625,-136.5575,0.0,bottom
D4,118.025,-46.07,0.0,bottom
D40,118.025,-146.0825,0.0,bottom
D41,141.8375,-146.0825,0.0,bottom
D42,63.25625,-155.6075,0.0,bottom
D43,170.4125,-155.6075,0.0,bottom
D44,189.4625,-155.6075,0.0,bottom
D45,208.5125,-155.6075,0.0,bottom
D5,137.075,-46.07,0.0,bottom
D6,156.125,-46.07,0.0,bottom
D7,184.7,-46.07,0.0,bottom
D8,208.5125,-46.07,0.0,bottom
D9,51.35,-69.8825,0.0,bottom
F1,168.0,-28.75,0.0,bottom
J1,176.75,-39.0,90.0,top
J2,227.75,-82.0,180.0,top
J3,138.2875,-153.1625,0.0,top
LED1,57.15,-33.02,180.0,bottom
LED10,76.2,-56.8325,0.0,bottom
LED11,95.25,-56.8325,0.0,bottom
LED12,114.3,-56.8325,0.0,bottom
LED13,133.35,-56.8325,0.0,bottom
LED14,152.4,-56.8325,0.0,bottom
LED15,180.975,-56.8325,0.0,bottom
LED16,214.3125,-56.8325,0.0,bottom
LED17,47.625,-75.8825,180.0,bottom
LED18,66.675,-75.8825,180.0,bottom
LED19,85.725,-75.8825,180.0,bottom
LED2,76.2,-33.02,180.0,bottom
LED20,104.775,-75.8825,180.0,bottom
LED21,123.825,-75.8825,180.0,bottom
LED22,142.875,-75.8825,180.0,bottom
LED23,161.925,-75.8825,180.0,bottom
LED24,185.7375,-75.8825,180.0,bottom
LED25,52.3875,-94.9325,0.0,bottom
LED26,71.4375,-94.9325,0.0,bottom
LED27,90.4875,-94.9325,0.0,bottom
LED28,109.5375,-94.9325,0.0,bottom
LED29,128.5875,-94.9325,0.0,bottom
LED3,104.775,-33.02,180.0,bottom
LED30,147.6375,-94.9325,0.0,bottom
LED31,178.59375,-94.9325,0.0,bottom
LED32,42.8625,-113.9825,180.0,bottom
LED33,61.9125,-113.9825,180.0,bottom
LED34,80.9625,-113.9825,180.0,bottom
LED35,100.0125,-113.9825,180.0,bottom
LED36,119.0625,-113.9825,180.0,bottom
LED37,138.1125,-113.9825,180.0,bottom
LED38,164.30625,-113.9825,180.0,bottom
LED39,195.2625,-123.5075,180.0,bottom
LED4,123.825,-33.02,180.0,bottom
LED40,123.825,-133.0325,0.0,bottom
LED41,147.6375,-133.0325,0.0,bottom
LED42,69.05625,-142.5575,0.0,bottom
LED43,176.2125,-142.5575,0.0,bottom
LED44,195.2625,-142.5575,0.0,bottom
LED45,214.3125,-142.5575,0.0,bottom
LED46,219.0,-117.0,180.0,bottom
LED47,219.0,-124.0,180.0,bottom
LED48,219.0,-131.0,180.0,bottom
LED5,142.875,-33.02,180.0,bottom
LED6,161.925,-33.02,180.0,bottom
LED7,190.5,-33.02,180.0,bottom
LED8,214.3125,-33.02,180.0,bottom
LED9,57.15,-56.8325,0.0,bottom
MX1,57.15,-38.1,180.0,bottom
MX10,76.2,-61.9125,180.0,bottom
MX11,95.25,-61.9125,180.0,bottom
MX12,114.3,-61.9125,180.0,bottom
MX13,133.35,-61.9125,180.0,bottom
MX14,152.4,-61.9125,180.0,bottom
MX15,180.975,-61.9125,180.0,bottom
MX16,214.3125,-61.9125,180.0,bottom
MX17,47.625,-80.9625,180.0,bottom
MX18,66.675,-80.9625,180.0,bottom
MX19,85.725,-80.9625,180.0,bottom
MX2,76.2,-38.1,180.0,bottom
MX20,104.775,-80.9625,180.0,bottom
MX21,123.825,-80.9625,180.0,bottom
MX22,142.875,-80.9625,180.0,bottom
MX23,161.925,-80.9625,180.0,bottom
MX24,185.7375,-80.9625,180.0,bottom
MX25,52.3875,-100.0125,180.0,bottom
MX26,71.4375,-100.0125,180.0,bottom
MX27,90.4875,-100.0125,180.0,bottom
MX28,109.5375,-100.0125,180.0,bottom
MX29,128.5875,-100.0125,180.0,bottom
MX3,104.775,-38.1,180.0,bottom
MX30,147.6375,-100.0125,180.0,bottom
MX31,178.59375,-100.0125,180.0,bottom
MX32,42.8625,-119.0625,180.0,bottom
MX33,61.9125,-119.0625,180.0,bottom
MX34,80.9625,-119.0625,180.0,bottom
MX35,100.0125,-119.0625,180.0,bottom
MX36,119.0625,-119.0625,180.0,bottom
MX37,138.1125,-119.0625,180.0,bottom
MX38,164.30625,-119.0625,180.0,bottom
MX39,195.2625,-128.5875,180.0,bottom
MX4,123.825,-38.1,180.0,bottom
MX40,123.825,-138.1125,180.0,bottom
MX41,147.6375,-138.1125,180.0,bottom
MX42,69.05625,-147.6375,180.0,bottom
MX43,176.2125,-147.6375,180.0,bottom
MX44,195.2625,-147.6375,180.0,bottom
MX45,214.3125,-147.6375,180.0,bottom
MX5,142.875,-38.1,180.0,bottom
MX6,161.925,-38.1,180.0,bottom
MX7,190.5,-38.1,180.0,bottom
MX8,214.3125,-38.1,180.0,bottom
MX9,57.15,-61.9125,180.0,bottom
R1,212.0,-100.2,0.0,top
R2,209.4,-106.6,0.0,top
R3,211.2,-104.8,180.0,top
R4,179.525,-29.775,90.0,top
R5,175.05,-29.9,90.0,top
R6,96.5,-29.425,0.0,top
S1,180.975,-62.54445,0.0,top
S2,178.59375,-100.64445,0.0,top
S3,69.05625,-148.26945,0.0,top
SW1,197.95,-78.1625,270.0,bottom
SW2,146.6125,-156.825,180.0,bottom
U1,214.12,-93.825,0.0,bottom
U2,90.7,-30.9875,270.0,top
U3,210.4,-102.4,0.0,top
U4,172.425,-28.535,270.0,bottom
U5,177.3,-32.575,270.0,top
U6,95.675,-29.4,270.0,bottom
U7,219.28,-73.65,0.0,top
USB1,90.4875,-23.8125,180.0,top
USB2,176.2125,-23.8125,180.0,top
